	94
'asis'	01
'doctor	01
'em	12
'how	01
'i	01
'nation	01
'say	01
'ud	01
'un	1
'you	01
a	2984
aa	01
aaabusiness	01
aamatter	01
aback	01
abandon	01
abandoned	9
abandoning	01
abandonment	01
abashed	01
abate	01
abated	01
abbaye	3
abbayein	01
abed	1
abhorrence	01
abide	01
abided	01
abiding	01
abilities	01
ability	1
abject	01
ablaze	01
able	16
aboard	01
abode	01
abolished	1
abolishedexpression	01
abolishing	01
abolition	01
abominable	1
abounding	01
about	168
above	22
abreast	1
abridge	01
abroad	1
abrupt	2
abruptly	01
absence	7
absent	4
absolute	2
absolutely	6
absolving	01
absorbed	3
absorption	01
abstractedly	01
abstraction	2
absurd	01
abundance	01
abundant	3
abuse	01
abused	01
abuzz	01
abyss	01
abyssinia	01
accelerator	1
accent	1
accents	01
accept	4
acceptable	01
acceptation	01
accepted	2
accepting	01
access	13
accessed	01
accessible	1
accessories	01
accident	1
accidenta	01
accidental	2
accidentally	2
acclamation	01
acclamations	1
accommodation	01
accompanied	3
accompaniment	1
accompany	3
accompanying	01
accomplices	01
accomplished	4
accomplishing	01
accomplishments	1
accord	01
accordance	3
accorded	01
according	9
accordingly	5
accost	01
accosted	01
account	19
accounts	1
accountwas	01
accoutred	01
accumulated	01
accumulating	01
accurate	01
accurately	01
accursed	4
accusation	1
accused	12
accustomed	6
ace	2
achieve	01
achieved	01
achievement	01
achievements	01
achieving	01
acknowledge	01
acknowledged	4
acknowledgment	1
acknowledgments	01
acoustical	01
acquaintance	01
acquainted	1
acquiesced	01
acquiescence	01
acquired	1
acquirementsa	01
acquisition	01
acquit	01
acquittal	01
acquitted	1
acres	01
across	35
act	10
acted	8
action	19
actionnot	01
actions	01
active	5
actively	1
actor	01
actual	3
actually	4
acute	01
acuteness	01
adam	01
add	6
added	31
addition	2
additional	7
additionally	1
additions	2
address	7
addressed	7
addresses	1
addressing	4
adequately	01
adieu	2
adjacent	4
adjective	01
adjoining	3
adjourned	01
adjuration	01
adjure	01
adjured	1
adjusted	1
adjusting	1
administered	1
admirable	3
admiration	4
admire	2
admired	01
admirers	01
admiring	3
admission	2
admit	6
admittance	01
admitted	3
admonish	01
admonitory	01
adopted	01
adorable	01
adorned	01
adornments	01
adornthe	01
adust	01
advance	9
advanced	8
advancing	4
advantage	4
advantages	1
adventurous	2
advice	6
advisable	01
advise	5
advised	2
advisera	01
advocate	1
advocate's	01
afar	3
affably	01
affair	01
affairs	11
affect	2
affected	3
affectingly	01
affection	5
affectionate	5
affectionately	2
affections	2
affidavit	01
affirmative	1
afflicted	5
affliction	2
afford	2
afforded	01
affrighted	01
afire	01
afoot	01
afore	01
aforesaid	1
afraid	16
afresh	3
after	137
afternoon	17
